Function,Derivative
49 x^{2} \sin{\left(3 x \right)} \cos{\left(9 x \right)},- 441 x^{2} \sin{\left(3 x \right)} \sin{\left(9 x \right)} + 147 x^{2} \cos{\left(3 x \right)} \cos{\left(9 x \right)} + 98 x \sin{\left(3 x \right)} \cos{\left(9 x \right)}
300 x^{6},1800 x^{5}
- \frac{x}{\log{\left(9 x^{2} \right)}},- \frac{1}{\log{\left(9 x^{2} \right)}} + \frac{2}{\log{\left(9 x^{2} \right)}^{2}}
- 2 x^{2} e^{9 x^{3}} \log{\left(- 8 x \right)} \sin{\left(9 x^{2} \right)},- 54 x^{4} e^{9 x^{3}} \log{\left(- 8 x \right)} \sin{\left(9 x^{2} \right)} - 36 x^{3} e^{9 x^{3}} \log{\left(- 8 x \right)} \cos{\left(9 x^{2} \right)} - 4 x e^{9 x^{3}} \log{\left(- 8 x \right)} \sin{\left(9 x^{2} \right)} - 2 x e^{9 x^{3}} \sin{\left(9 x^{2} \right)}
\frac{\cos{\left(2 x^{3} \right)}}{\cos{\left(7 x^{3} \right)}},- \frac{6 x^{2} \sin{\left(2 x^{3} \right)}}{\cos{\left(7 x^{3} \right)}} + \frac{21 x^{2} \sin{\left(7 x^{3} \right)} \cos{\left(2 x^{3} \right)}}{\cos^{2}{\left(7 x^{3} \right)}}
\frac{e^{- 9 x} e^{- 2 x^{3}}}{\cos{\left(2 x^{2} \right)}},- \frac{6 x^{2} e^{- 9 x} e^{- 2 x^{3}}}{\cos{\left(2 x^{2} \right)}} + \frac{4 x e^{- 9 x} e^{- 2 x^{3}} \sin{\left(2 x^{2} \right)}}{\cos^{2}{\left(2 x^{2} \right)}} - \frac{9 e^{- 9 x} e^{- 2 x^{3}}}{\cos{\left(2 x^{2} \right)}}
\frac{35 x^{3} \cos{\left(6 x^{2} \right)}}{8},- \frac{105 x^{4} \sin{\left(6 x^{2} \right)}}{2} + \frac{105 x^{2} \cos{\left(6 x^{2} \right)}}{8}
\frac{9 \log{\left(- 6 x^{3} \right)} \sin{\left(5 x \right)}}{2 x^{2}},\frac{45 \log{\left(- 6 x^{3} \right)} \cos{\left(5 x \right)}}{2 x^{2}} - \frac{9 \log{\left(- 6 x^{3} \right)} \sin{\left(5 x \right)}}{x^{3}} + \frac{27 \sin{\left(5 x \right)}}{2 x^{3}}
- e^{- 6 x} e^{5 x^{2}},- 10 x e^{- 6 x} e^{5 x^{2}} + 6 e^{- 6 x} e^{5 x^{2}}
e^{- 5 x} e^{7 x^{3}},21 x^{2} e^{- 5 x} e^{7 x^{3}} - 5 e^{- 5 x} e^{7 x^{3}}
- \frac{\sin{\left(9 x \right)}}{\cos{\left(5 x \right)}},- \frac{5 \sin{\left(5 x \right)} \sin{\left(9 x \right)}}{\cos^{2}{\left(5 x \right)}} - \frac{9 \cos{\left(9 x \right)}}{\cos{\left(5 x \right)}}
- 40 x^{8} e^{- 4 x^{3}},480 x^{10} e^{- 4 x^{3}} - 320 x^{7} e^{- 4 x^{3}}
\cos{\left(10 x \right)},- 10 \sin{\left(10 x \right)}
\log{\left(5 x \right)},\frac{1}{x}
\frac{\sin{\left(3 x \right)}}{3 x^{2} \sin{\left(3 x^{2} \right)}},- \frac{2 \sin{\left(3 x \right)} \cos{\left(3 x^{2} \right)}}{x \sin^{2}{\left(3 x^{2} \right)}} + \frac{\cos{\left(3 x \right)}}{x^{2} \sin{\left(3 x^{2} \right)}} - \frac{2 \sin{\left(3 x \right)}}{3 x^{3} \sin{\left(3 x^{2} \right)}}
- 4 x^{3} e^{- 6 x^{2}} \log{\left(4 x \right)},48 x^{4} e^{- 6 x^{2}} \log{\left(4 x \right)} - 12 x^{2} e^{- 6 x^{2}} \log{\left(4 x \right)} - 4 x^{2} e^{- 6 x^{2}}
- 3 x \log{\left(5 x^{2} \right)},- 3 \log{\left(5 x^{2} \right)} - 6
- \frac{1}{x},\frac{1}{x^{2}}
378 x^{5} e^{- 4 x},- 1512 x^{5} e^{- 4 x} + 1890 x^{4} e^{- 4 x}
\sin{\left(2 x \right)} \cos{\left(8 x^{3} \right)},- 24 x^{2} \sin{\left(2 x \right)} \sin{\left(8 x^{3} \right)} + 2 \cos{\left(2 x \right)} \cos{\left(8 x^{3} \right)}
\frac{4}{3},0
\frac{\tilde{\infty}}{x \sin{\left(9 x^{3} \right)}},\frac{\tilde{\infty} x \cos{\left(9 x^{3} \right)}}{\sin^{2}{\left(9 x^{3} \right)}} + \frac{\tilde{\infty}}{x^{2} \sin{\left(9 x^{3} \right)}}
15 x^{4},60 x^{3}
- 4 x^{3} e^{2 x^{2}} \cos{\left(2 x \right)} \cos{\left(7 x^{2} \right)},56 x^{4} e^{2 x^{2}} \sin{\left(7 x^{2} \right)} \cos{\left(2 x \right)} - 16 x^{4} e^{2 x^{2}} \cos{\left(2 x \right)} \cos{\left(7 x^{2} \right)} + 8 x^{3} e^{2 x^{2}} \sin{\left(2 x \right)} \cos{\left(7 x^{2} \right)} - 12 x^{2} e^{2 x^{2}} \cos{\left(2 x \right)} \cos{\left(7 x^{2} \right)}
- 90 x^{3},- 270 x^{2}
- \frac{14 x^{4} e^{6 x^{3}}}{\sin{\left(7 x \right)}},- \frac{252 x^{6} e^{6 x^{3}}}{\sin{\left(7 x \right)}} + \frac{98 x^{4} e^{6 x^{3}} \cos{\left(7 x \right)}}{\sin^{2}{\left(7 x \right)}} - \frac{56 x^{3} e^{6 x^{3}}}{\sin{\left(7 x \right)}}
- \frac{e^{- x^{2}}}{\sin{\left(4 x^{3} \right)}},\frac{12 x^{2} e^{- x^{2}} \cos{\left(4 x^{3} \right)}}{\sin^{2}{\left(4 x^{3} \right)}} + \frac{2 x e^{- x^{2}}}{\sin{\left(4 x^{3} \right)}}
\frac{e^{- 3 x^{3}} \cos{\left(3 x^{3} \right)}}{50 x^{2}},- \frac{9 e^{- 3 x^{3}} \sin{\left(3 x^{3} \right)}}{50} - \frac{9 e^{- 3 x^{3}} \cos{\left(3 x^{3} \right)}}{50} - \frac{e^{- 3 x^{3}} \cos{\left(3 x^{3} \right)}}{25 x^{3}}
\log{\left(5 x \right)} \cos{\left(x^{2} \right)},- 2 x \log{\left(5 x \right)} \sin{\left(x^{2} \right)} + \frac{\cos{\left(x^{2} \right)}}{x}
\frac{2 \sin{\left(7 x^{2} \right)}}{x^{2}},\frac{28 \cos{\left(7 x^{2} \right)}}{x} - \frac{4 \sin{\left(7 x^{2} \right)}}{x^{3}}
-7,0
- \frac{e^{- 10 x^{3}}}{12 x^{3}},\frac{5 e^{- 10 x^{3}}}{2 x} + \frac{e^{- 10 x^{3}}}{4 x^{4}}
1,0
- 56 x^{3},- 168 x^{2}
- 24 x^{6} e^{- 5 x^{3}},360 x^{8} e^{- 5 x^{3}} - 144 x^{5} e^{- 5 x^{3}}
\frac{\log{\left(- 10 x \right)} \log{\left(3 x^{3} \right)} \cos{\left(x \right)}}{9 x},- \frac{\log{\left(- 10 x \right)} \log{\left(3 x^{3} \right)} \sin{\left(x \right)}}{9 x} - \frac{\log{\left(- 10 x \right)} \log{\left(3 x^{3} \right)} \cos{\left(x \right)}}{9 x^{2}} + \frac{\log{\left(- 10 x \right)} \cos{\left(x \right)}}{3 x^{2}} + \frac{\log{\left(3 x^{3} \right)} \cos{\left(x \right)}}{9 x^{2}}
\log{\left(3 x \right)} \sin{\left(10 x^{3} \right)},30 x^{2} \log{\left(3 x \right)} \cos{\left(10 x^{3} \right)} + \frac{\sin{\left(10 x^{3} \right)}}{x}
\frac{9 \log{\left(7 x^{2} \right)}}{2},\frac{9}{x}
\frac{80 x^{3}}{3},80 x^{2}
- \frac{\cos{\left(3 x^{2} \right)}}{8 x^{2}},\frac{3 \sin{\left(3 x^{2} \right)}}{4 x} + \frac{\cos{\left(3 x^{2} \right)}}{4 x^{3}}
